name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name
Gabriel,17000,26,Brazil,74,77,79,77,73,0,midfielder,8,14500000,Benfica
R. Malinovskyi,58000,27,Ukraine,79,81,78,72,50,0,substitute,18,14000000,Atalanta
Pepe Reina,30000,37,Spain,0,0,0,22,24,80,goalkeeper,50,1300000,Lazio
Rafinha,500,34,Brazil,46,74,78,78,82,0,defender,13,4400000,Olympiacos
M. Valbuena,500,35,France,76,80,81,26,34,0,midfielder,28,5500000,Olympiacos
Juan Mata,110000,32,Spain,72,82,82,31,21,0,substitute,8,10000000,Manchester United
O. Giroud,96000,33,France,83,70,71,37,20,0,attacker,18,8000000,Chelsea
V. cÜorluka,500,34,Croatia,49,65,67,83,82,0,defender,14,4700000,Lokomotiv Moscow
M. Parolo,40000,35,Italy,76,75,75,79,80,0,substitute,16,4000000,Lazio
S. Ulreich,54000,31,Germany,0,0,0,18,14,79,goalkeeper,26,8000000,Bayern Munich
"Y. M""Vila",500,30,France,62,74,73,76,72,0,midfielder,6,10500000,Olympiacos
S. Nzonzi,47000,31,France,55,71,68,77,74,0,midfielder,15,9500000,Rennes
C. Smalling,100000,30,England,47,58,59,82,81,0,substitute,12,10000000,Manchester United
Ander Herrera,78000,30,Spain,72,77,79,82,78,0,substitute,21,11500000,Paris Saint-Germain
N. Otamendi,105000,32,Argentina,57,61,58,81,80,0,substitute,30,8000000,Manchester City
L. Muriel,65000,29,Colombia,79,69,84,24,22,0,substitute,9,12500000,Atalanta
Danilo,73000,28,Brazil,70,74,75,79,79,0,defender,13,11000000,Juventus
Vitolo,55000,30,Spain,76,76,79,21,23,0,substitute,20,12000000,Atletico Madrid
alvaro,40000,30,Spain,33,57,58,80,81,0,defender,3,10000000,Marseille
T. Stepanenko,500,30,Ukraine,61,71,68,79,77,0,midfielder,6,10500000,Shakhtar Donetsk
E. Forsberg,57000,28,Sweden,71,81,81,25,16,0,substitute,10,12500000,RB Leipzig
D. Benedetto,48000,30,Argentina,80,67,75,25,25,0,attacker,9,12000000,Marseille
H. Traore,49000,28,Mali,54,72,76,77,75,0,defender,27,11000000,Rennes
M. Marega,19000,29,Mali,79,62,65,34,28,0,attacker,11,12500000,Porto
Junior Moraes,500,33,Ukraine,80,57,77,13,13,0,attacker,10,8000000,Shakhtar Donetsk
Trincao,105000,20,Portugal,73,71,83,34,32,0,substitute,14,20000000,Barcelona
I. Konate,33000,21,France,34,57,68,85,79,0,substitute,6,15500000,RB Leipzig
Antony,15000,20,Brazil,70,71,84,37,21,0,midfielder,39,17000000,Ajax
L. Daaz,14000,23,Colombia,76,68,79,36,34,0,midfielder,7,15500000,Porto
T. Abraham,77000,22,England,78,59,72,23,15,0,substitute,9,15000000,Chelsea
L. Martanez,15000,22,Argentina,58,72,75,81,76,0,midfielder,21,13500000,Ajax
R. Loftus-Cheek,70000,24,England,67,76,80,67,61,0,midfielder,12,14000000,Chelsea
N. Elvedi,30000,23,Switzerland,34,64,68,83,77,0,defender,30,13000000,Borussia Mionchengladbach
B. Embolo,37000,23,Switzerland,76,70,74,42,38,0,substitute,36,14500000,Borussia Mionchengladbach
M. Akanji,42000,24,Switzerland,47,68,71,83,78,0,defender,16,13000000,Borussia Dortmund
M. Caldara,48000,26,Italy,34,46,62,84,80,0,defender,3,12000000,Atalanta
S. Sensi,73000,24,Italy,59,80,80,73,73,0,substitute,12,13500000,Inter Milan
Y. En-Nesyri,27000,23,Morocco,77,54,77,31,27,0,substitute,15,14000000,Sevilla
S. Gigot,500,26,France,38,63,60,79,77,0,defender,2,12000000,Spartak Moscow
D. cÜaleta-Car,31000,23,Croatia,40,60,62,79,75,0,defender,15,12000000,Marseille
A. Diallo,55000,24,France,38,71,76,78,81,0,substitute,22,12000000,Paris Saint-Germain
R. Barkley,80000,26,England,74,78,80,60,51,0,midfielder,8,12500000,Chelsea
L. Karius,59000,27,Germany,0,0,0,11,13,76,goalkeeper,22,9000000,Liverpool
M. Niang,49000,25,Senegal,79,68,79,24,20,0,substitute,11,13000000,Rennes
R. Gagliardini,77000,26,Italy,63,71,74,79,77,0,substitute,5,11500000,Inter Milan
R. Zobnin,500,26,Russia,62,76,77,76,74,0,midfielder,47,11500000,Spartak Moscow
Y. Poulsen,54000,26,Denmark,71,67,74,58,32,0,attacker,9,12500000,RB Leipzig
Jose Sa,500,27,Portugal,0,0,0,19,15,76,goalkeeper,1,8500000,Olympiacos
B. Bourigeaud,47000,26,France,74,79,78,69,65,0,midfielder,14,12500000,Rennes
J. Amavi,37000,26,France,65,71,76,77,75,0,defender,18,11000000,Marseille
H. Hateboer,52000,26,Netherlands,64,72,77,78,77,0,midfielder,33,12000000,Atalanta
F. Cervi,16000,26,Argentina,65,70,84,59,55,0,substitute,11,12000000,Benfica
B. Verbicç,500,26,Slovenia,72,72,80,34,33,0,midfielder,7,12000000,Dynamo Kyiv
ÔøΩ. Radu,51000,33,Romania,64,65,68,86,84,0,defender,26,4900000,Lazio
V. Moses,84000,29,Nigeria,69,74,81,74,71,0,substitute,31,10000000,Chelsea
A. Candreva,84000,33,Italy,78,77,79,63,53,0,substitute,87,6500000,Inter Milan
F. Caicedo,60000,31,Ecuador,76,71,75,44,47,0,substitute,20,9500000,Lazio
Guilherme,500,34,Russia,0,0,0,16,18,78,goalkeeper,1,4500000,Lokomotiv Moscow
S. Lulic,56000,34,Bosnia Herzegovina,72,76,78,78,76,0,midfielder,19,5000000,Lazio
M. Hitz,39000,32,Switzerland,0,0,0,15,14,79,goalkeeper,35,6500000,Borussia Dortmund
A. Kokorin,500,29,Russia,77,72,81,42,44,0,substitute,9,10500000,Spartak Moscow
Y. El Arabi,500,33,Morocco,81,67,78,30,42,0,attacker,11,6500000,Olympiacos
Sergio Oliveira,16000,28,Portugal,77,82,75,67,48,0,substitute,27,10500000,Porto
P. Herrmann,44000,29,Germany,75,75,78,26,54,0,midfielder,7,10000000,Borussia Mionchengladbach
H. Vanaken,28000,27,Belgium,78,80,76,56,51,0,midfielder,20,11000000,Club Brugge
R. Freuler,54000,28,Switzerland,69,75,76,76,71,0,midfielder,11,10500000,Atalanta
C. Kramer,37000,29,Germany,49,69,72,77,72,0,substitute,6,9000000,Borussia Mionchengladbach
M. De Sciglio,64000,27,Italy,46,69,75,78,78,0,substitute,2,9000000,Juventus
H. Sakai,37000,30,Japan,54,68,67,77,80,0,defender,2,8000000,Marseille
M. Uribe,16000,29,Colombia,74,74,76,76,69,0,midfielder,16,10000000,Porto
M. Greenwood,33000,18,England,78,71,78,39,33,0,midfielder,11,14500000,Manchester United
D. Kulusevski,54000,20,Sweden,69,75,78,64,58,0,substitute,44,14500000,Juventus
R. James,49000,20,England,57,72,75,77,73,0,defender,24,12500000,Chelsea
Luiz Felipe,41000,23,Brazil,29,61,68,79,79,0,defender,3,12000000,Lazio
K. Diatta,20000,21,Senegal,70,67,81,32,50,0,midfielder,11,13000000,Club Brugge
Ferro,11000,23,Portugal,43,54,59,80,74,0,substitute,97,11500000,Benfica
H. Wilson,66000,23,Wales,78,75,77,48,42,0,substitute,59,12000000,Liverpool
D. James,81000,22,Wales,70,69,77,39,34,0,substitute,21,12000000,Manchester United
N. Mazraoui,14000,22,Morocco,59,72,80,72,72,0,defender,12,11000000,Ajax
aliver Torres,26000,25,Spain,67,78,82,63,58,0,substitute,21,11500000,Sevilla
D. Origi,79000,25,Belgium,76,67,77,24,18,0,substitute,27,12000000,Liverpool
T. Kehrer,52000,23,Germany,44,65,67,79,81,0,substitute,4,10500000,Paris Saint-Germain
Hwang Hee Chan,45000,24,Korea Republic,75,71,79,23,24,0,attacker,11,12000000,RB Leipzig
M. PaSalic,47000,25,Croatia,71,75,76,72,64,0,substitute,88,11500000,Atalanta
G. Dzhikiya,500,26,Russia,53,61,64,77,85,0,defender,14,10000000,Spartak Moscow
F. Maouassa,29000,21,France,68,71,75,74,75,0,defender,17,10500000,Rennes
Claudio Ramos,11000,28,Portugal,0,0,0,17,13,73,goalkeeper,14,8000000,Porto
G. Escalante,48000,27,Argentina,67,71,69,76,77,0,substitute,7,9500000,Lazio
T. Minamino,79000,25,Japan,73,69,82,30,26,0,substitute,18,11000000,Liverpool
Sergio Rico,49000,26,Spain,0,0,0,11,11,74,goalkeeper,16,7500000,Paris Saint-Germain
Clinton Mata,24000,27,Angola,61,70,77,78,78,0,defender,77,9500000,Club Brugge
Sergi Gomez,26000,28,Spain,40,64,61,80,76,0,substitute,3,8500000,Sevilla
K. Fortounis,500,27,Greece,74,77,80,35,38,0,substitute,7,10000000,Olympiacos
Bastos,50000,28,Angola,37,50,65,80,77,0,substitute,15,8500000,Lazio
Mariano,125000,26,Dominican Republic,80,61,73,40,34,0,substitute,24,10500000,Real Madrid
S. Nakajima,14000,25,Japan,71,71,83,41,36,0,substitute,10,10500000,Porto
A. Young,79000,34,England,67,74,77,75,73,0,midfielder,15,4500000,Inter Milan
R. Vormer,26000,32,Netherlands,74,79,70,75,70,0,midfielder,25,6500000,Club Brugge
A. Taarabt,15000,31,Morocco,69,78,84,62,57,0,substitute,49,7500000,Benfica
D. Da Silva,40000,32,France,37,57,54,78,77,0,defender,3,5500000,Rennes
O. Ighalo,100000,31,Nigeria,78,65,77,45,41,0,substitute,25,8000000,Manchester United
N. Kalinic,51000,32,Croatia,76,64,73,32,28,0,substitute,25,7000000,Atletico Madrid
Rafael Toloi,47000,29,Brazil,47,58,62,82,80,0,defender,2,7500000,Atalanta
K. Strootman,34000,30,Netherlands,70,75,71,75,70,0,substitute,6,7500000,Marseille
"D. D""Ambrosio",72000,31,Italy,56,67,71,79,78,0,substitute,33,6500000,Inter Milan
L. Kurzawa,60000,27,France,65,73,76,76,77,0,substitute,20,8000000,Paris Saint-Germain
Aleix Vidal,27000,30,Spain,67,72,78,70,74,0,substitute,27,8500000,Sevilla
Ze Luas,16000,29,Cape Verde,75,59,75,19,24,0,substitute,20,9000000,Porto
Roque Mesa,27000,31,Spain,64,74,77,78,76,0,substitute,26,7500000,Sevilla
B. Sarr,36000,28,France,70,74,76,71,72,0,substitute,17,7500000,Marseille
F. Vazquez,27000,31,Argentina,78,79,79,59,48,0,substitute,22,7500000,Sevilla
J. Lingard,93000,27,England,74,74,78,57,49,0,substitute,14,9500000,Manchester United
A. Samaris,13000,31,Greece,66,70,70,81,75,0,substitute,22,6500000,Benfica
J. Hofmann,36000,27,Germany,69,76,78,44,40,0,substitute,23,9500000,Borussia Mionchengladbach
A. MaruSic,52000,27,Montenegro,71,72,76,72,73,0,substitute,77,9500000,Lazio
Soares,16000,29,Brazil,73,59,75,45,35,0,substitute,29,9000000,Porto
M. Taremi,16000,27,Iran,76,66,81,37,19,0,attacker,24,9500000,Porto
Ansu Fati,24000,17,Spain,71,68,79,32,28,0,attacker,22,15000000,Barcelona
E. Camavinga,5000,17,France,62,74,77,78,76,0,midfielder,10,12000000,Rennes
Florentino,9000,20,Portugal,44,62,68,78,77,0,substitute,61,11500000,Benfica
F. Tomori,55000,22,England,37,58,66,79,74,0,substitute,14,11000000,Chelsea
T. Adams,29000,21,United States,48,67,72,76,69,0,substitute,14,11000000,RB Leipzig
Diogo Dalot,56000,21,Portugal,60,70,76,72,68,0,substitute,20,11000000,Manchester United
M. Demiral,48000,22,Turkey,39,49,59,79,78,0,substitute,28,11000000,Juventus
P. Daka,22000,21,Zambia,76,58,76,24,16,0,attacker,20,12000000,Red Bull Salzburg
V. Mykolenko,500,21,Ukraine,44,62,57,73,76,0,defender,16,10000000,Dynamo Kyiv
L. Waldschmidt,13000,24,Germany,79,69,75,19,18,0,substitute,10,11000000,Benfica
Carlos Fernandez,24000,24,Spain,78,63,77,21,22,0,substitute,24,11000000,Sevilla
A. Miranchuk,500,24,Russia,73,74,77,30,31,0,midfielder,11,11000000,Lokomotiv Moscow
E. alvarez,13000,22,Mexico,53,66,68,76,77,0,substitute,4,10000000,Ajax
E. Dennis,24000,22,Nigeria,73,62,78,45,27,0,substitute,42,11000000,Club Brugge
Borja Mayoral,105000,23,Spain,76,69,77,29,24,0,substitute,16,10500000,Real Madrid
Z. Steffen,64000,25,United States,0,0,0,12,12,71,goalkeeper,13,8000000,Manchester City
M. Terrier,39000,23,France,75,73,75,31,34,0,attacker,21,10500000,Rennes
M. Dahoud,41000,24,Germany,66,73,82,58,52,0,substitute,8,10000000,Borussia Dortmund
K. Tsimikas,55000,24,Greece,58,70,73,73,71,0,substitute,21,9000000,Liverpool
Chiquinho,12000,24,Portugal,70,77,80,58,51,0,substitute,19,10500000,Benfica
B. Henrichs,34000,23,Germany,53,71,75,74,74,0,substitute,39,9000000,RB Leipzig
J. Gnagnon,20000,23,France,39,57,61,78,75,0,substitute,4,9000000,Sevilla
T. Kedziora,500,26,Poland,45,66,64,76,76,0,defender,94,8500000,Dynamo Kyiv
I. Amadou,23000,27,France,55,65,71,79,70,0,substitute,30,8500000,Sevilla
A. Selikhov,500,26,Russia,0,0,0,18,18,75,goalkeeper,57,7000000,Spartak Moscow
V. Muriqi,53000,26,Kosovo,76,55,68,25,22,0,substitute,94,9500000,Lazio
M. Wolf,45000,25,Germany,70,72,75,67,67,0,substitute,27,9500000,Borussia Dortmund
B. Djimsiti,42000,27,Albania,39,59,48,79,78,0,defender,19,8000000,Atalanta
B. Mechele,22000,27,Belgium,35,47,57,81,79,0,defender,44,8000000,Club Brugge
E. Balanta,22000,27,Colombia,41,63,71,74,72,0,substitute,3,8000000,Club Brugge
E. Sviatchenko,26000,28,Denmark,51,61,59,76,72,0,defender,28,7500000,Midtjylland
C. Piccini,42000,27,Italy,42,64,70,78,76,0,substitute,21,7500000,Atalanta
J. Lukaku,47000,25,Belgium,61,70,80,74,72,0,substitute,5,9000000,Lazio
Y. Bounou,20000,29,Morocco,0,0,0,18,15,75,goalkeeper,13,6000000,Sevilla
S. Deli,24000,28,Ivory Coast,46,53,67,78,77,0,defender,17,7500000,Club Brugge
A. Pyatov,500,36,Ukraine,0,0,0,9,10,80,goalkeeper,30,1300000,Shakhtar Donetsk
Z. Junuzovic,27000,32,Austria,73,77,81,62,61,0,substitute,16,6000000,Red Bull Salzburg
K. Asamoah,74000,31,Ghana,68,76,79,80,80,0,substitute,18,7000000,Inter Milan
F. Smolov,500,30,Russia,75,71,76,28,24,0,attacker,9,7500000,Lokomotiv Moscow
A. Dzagoev,500,30,Russia,71,74,76,71,70,0,substitute,10,7000000,PFC CSKA Moscow
M. Braithwaite,125000,29,Denmark,75,70,77,30,26,0,substitute,19,7500000,Barcelona
Adrian,52000,33,Spain,0,0,0,19,14,72,goalkeeper,13,4200000,Liverpool
F. Tait,41000,27,France,70,74,79,37,34,0,substitute,20,8000000,Rennes
M. Sportiello,36000,28,Italy,0,0,0,17,13,76,goalkeeper,57,5500000,Atalanta
J. Palomino,42000,30,Argentina,32,55,58,78,78,0,substitute,6,6000000,Atalanta
Dyego Sousa,15000,30,Portugal,77,61,74,22,27,0,substitute,20,7500000,Benfica
Riqui Puig,77000,20,Spain,59,75,81,61,53,0,substitute,28,12500000,Barcelona
D. Szoboszlai,15000,19,Hungary,75,76,78,38,26,0,midfielder,14,11500000,Red Bull Salzburg
A. Lunin,50000,21,Ukraine,0,0,0,13,11,75,goalkeeper,29,9500000,Real Madrid
ascar,21000,22,Spain,73,74,78,47,43,0,substitute,14,11500000,Sevilla
J. Todibo,68000,20,France,43,61,64,80,71,0,substitute,6,10500000,Barcelona
Tete,500,20,Brazil,67,69,79,25,27,0,substitute,14,11500000,Shakhtar Donetsk
S. Dest,7000,19,United States,58,71,79,70,68,0,substitute,28,10000000,Ajax
A. Nubel,34000,23,Germany,0,0,0,14,13,76,goalkeeper,35,8500000,Bayern Munich
I. Radu,43000,23,Romania,0,0,0,19,15,75,goalkeeper,97,8500000,Inter Milan
B. Williams,40000,19,England,57,64,73,73,74,0,substitute,33,9500000,Manchester United
N. Perez,27000,20,Argentina,25,46,44,79,77,0,substitute,26,10000000,Atletico Madrid
M. Kudus,9000,19,Ghana,70,67,79,55,46,0,substitute,20,10500000,Ajax
Ayrton,500,23,Brazil,55,65,76,70,73,0,midfielder,6,9000000,Spartak Moscow
W. McKennie,43000,21,United States,64,69,74,76,73,0,midfielder,14,10000000,Juventus
P. Schuurs,10000,20,Netherlands,64,70,67,77,74,0,defender,3,9500000,Ajax
Pedrinho,11000,22,Brazil,68,71,80,36,20,0,substitute,62,10500000,Benfica
A. Bastoni,46000,21,Italy,33,52,54,78,76,0,substitute,95,9000000,Inter Milan
D. Barinov,500,23,Russia,59,63,66,76,73,0,midfielder,6,8500000,Lokomotiv Moscow
Diogo Gonaalves,11000,23,Portugal,72,67,79,33,28,0,substitute,35,9500000,Benfica
M. Camara,500,23,Guinea,64,65,71,74,72,0,midfielder,4,8500000,Olympiacos
C. Ejuke,500,22,Nigeria,69,61,79,37,31,0,substitute,11,9500000,PFC CSKA Moscow
M. Grujic,58000,24,Serbia,71,71,77,70,70,0,substitute,16,9000000,Liverpool
P. Cisse,500,24,Senegal,32,43,44,75,73,0,substitute,66,8000000,Olympiacos
Z. Bakaev,500,24,Russia,70,71,77,33,29,0,midfielder,10,9000000,Spartak Moscow
C. Dagba,39000,21,France,50,70,77,72,73,0,substitute,31,8000000,Paris Saint-Germain
M. Sarr,44000,21,France,52,68,65,77,75,0,substitute,27,8000000,Chelsea
Andreas Pereira,72000,24,Brazil,72,77,77,67,64,0,substitute,15,8500000,Manchester United
A. Baba,58000,25,Ghana,50,66,75,74,74,0,substitute,34,7500000,Chelsea
C. Mbemba,11000,25,DR Congo,53,55,64,78,76,0,defender,19,7500000,Porto
P. Sisto,27000,25,Denmark,73,72,81,55,48,0,substitute,7,8500000,Midtjylland
Ruben Semedo,500,26,Portugal,52,54,64,77,74,0,defender,3,7500000,Olympiacos
M. Lopez,29000,22,France,67,77,78,66,59,0,substitute,27,8500000,Marseille
F. Kamano,500,24,Guinea,73,67,77,35,30,0,substitute,25,8500000,Lokomotiv Moscow
Wilson Manafa,11000,25,Portugal,60,67,76,71,73,0,substitute,18,7500000,Porto
Helton Leite,10000,29,Brazil,0,0,0,9,8,73,goalkeeper,18,5500000,Benfica
A. Hunou,42000,26,France,76,70,76,58,56,0,substitute,23,8000000,Rennes
M. Rits,23000,26,Belgium,67,73,71,74,64,0,midfielder,26,7500000,Club Brugge
Z. Labyad,17000,27,Morocco,75,76,79,36,28,0,substitute,19,8000000,Ajax
M. van Ginkel,67000,27,Netherlands,77,77,75,73,68,0,substitute,35,7500000,Chelsea
Carraaa,12000,27,Portugal,59,70,73,74,71,0,substitute,21,6500000,Porto
E. Kilina,51000,25,Turkey,68,72,76,38,36,0,midfielder,54,8000000,Galatasaray
S. Proto,22000,37,Belgium,0,0,0,11,17,76,goalkeeper,24,675000,Lazio
J. Hansen,13000,35,Denmark,0,0,0,14,15,76,goalkeeper,1,1800000,Midtjylland
W. Caballero,32000,38,Argentina,0,0,0,11,12,76,goalkeeper,13,675000,Chelsea
O. Wendt,30000,34,Sweden,62,74,73,74,73,0,substitute,17,2300000,Borussia Mionchengladbach
Jardel,12000,34,Brazil,42,52,50,76,72,0,substitute,33,2500000,Benfica
A. Ulmer,24000,34,Austria,62,71,71,75,73,0,defender,17,2300000,Red Bull Salzburg
J. Holebas,500,36,Greece,65,74,73,77,75,0,defender,25,1200000,Olympiacos
I. Traore,32000,32,Guinea,69,73,82,44,40,0,substitute,16,5000000,Borussia Mionchengladbach
T. Jantschke,30000,30,Germany,41,64,65,78,77,0,substitute,24,5500000,Borussia Mionchengladbach
S. Corchia,23000,29,France,65,73,74,75,76,0,substitute,2,5500000,Sevilla
G. Schennikov,500,29,Russia,54,69,70,73,74,0,defender,42,5500000,PFC CSKA Moscow
V. Ignatiev,500,33,Russia,63,71,70,73,72,0,substitute,20,3000000,Lokomotiv Moscow
H. Seferovic,15000,28,Switzerland,74,65,70,46,40,0,substitute,14,7000000,Benfica
Y. Nagatomo,30000,33,Japan,49,65,70,76,73,0,substitute,25,3000000,Marseille
P. Jones,79000,28,England,50,60,56,76,77,0,substitute,4,6000000,Manchester United
Y. Konoplyanka,500,30,Ukraine,72,71,78,30,27,0,substitute,15,6500000,Shakhtar Donetsk
M. Rojo,75000,30,Argentina,59,68,65,78,75,0,substitute,16,5500000,Manchester United
J. Mojica,40000,27,Colombia,65,71,73,73,74,0,substitute,5,6000000,Atalanta
S. Sydorchuk,500,29,Ukraine,63,66,68,75,67,0,midfielder,5,5500000,Dynamo Kyiv
D. Boyko,500,32,Ukraine,0,0,0,12,11,76,goalkeeper,71,4000000,Dynamo Kyiv
C. Hudson-Odoi,41000,19,England,64,67,81,33,36,0,substitute,20,10000000,Chelsea
A. Kral,500,22,Czech Republic,68,67,74,76,69,0,midfielder,33,8500000,Spartak Moscow
A. Lookman,34000,22,England,72,66,81,23,24,0,substitute,17,8500000,RB Leipzig
M. Wiober,19000,22,Austria,37,62,64,74,77,0,defender,39,7500000,Red Bull Salzburg
Alex,84000,22,Spain,67,73,74,62,50,0,substitute,29,8000000,Barcelona
Evander,21000,22,Brazil,69,72,80,58,52,0,midfielder,10,8500000,Midtjylland
F. Chalov,500,22,Russia,72,67,75,26,23,0,attacker,9,8500000,PFC CSKA Moscow
A. Haidara,34000,22,Mali,70,72,75,62,61,0,substitute,8,8000000,RB Leipzig
V. Shepelev,500,23,Ukraine,63,62,70,73,72,0,substitute,8,8000000,Dynamo Kyiv
S. Lammers,39000,23,Netherlands,75,61,77,21,19,0,substitute,27,8000000,Atalanta
F. Onyeka,19000,22,Nigeria,58,64,71,73,68,0,midfielder,38,7000000,Midtjylland
M. Pessina,35000,23,Italy,66,70,74,64,62,0,substitute,40,8000000,Atalanta
E. Mwepu,21000,22,Zambia,67,71,72,72,67,0,midfielder,45,8000000,Red Bull Salzburg
M. Burda,500,25,Ukraine,23,43,40,78,71,0,defender,26,7000000,Dynamo Kyiv
E. Ponce,500,23,Argentina,73,60,74,30,28,0,substitute,19,8000000,Spartak Moscow
S. Guirassy,34000,24,France,74,61,74,29,34,0,attacker,18,7500000,Rennes
N. Radonjic,30000,24,Serbia,71,71,75,30,23,0,substitute,7,7500000,Marseille
Wallace,38000,25,Brazil,28,44,48,77,74,0,substitute,45,6500000,Lazio
A. Sobolev,500,23,Russia,75,58,71,41,29,0,attacker,7,7500000,Spartak Moscow
Y. Osorio,11000,26,Venezuela,31,44,50,75,73,0,substitute,30,6500000,Porto
M. Okugawa,21000,24,Japan,69,68,78,29,24,0,midfielder,37,7500000,Red Bull Salzburg
R. Durmisi,39000,26,Denmark,61,72,73,72,70,0,substitute,39,6000000,Lazio
A. Scholz,22000,27,Denmark,50,62,64,74,73,0,defender,14,6000000,Midtjylland
C. Stankovic,18000,27,Austria,0,0,0,14,15,70,goalkeeper,1,4900000,Red Bull Salzburg
E. Sobol,21000,25,Ukraine,61,73,73,71,67,0,midfielder,2,7000000,Club Brugge
Andre Ramalho,23000,28,Brazil,60,66,65,74,71,0,defender,15,5500000,Red Bull Salzburg
Gilberto,11000,27,Brazil,55,69,71,76,73,0,substitute,23,5500000,Benfica
E. Akbaba,49000,27,Turkey,72,75,74,55,45,0,midfielder,20,6500000,Galatasaray
V. Buyalskyi,500,27,Ukraine,67,70,76,74,69,0,midfielder,29,6500000,Dynamo Kyiv
G. Masouras,500,26,Greece,72,70,73,33,35,0,substitute,19,6500000,Olympiacos
A. Turan,49000,33,Turkey,72,77,76,63,60,0,midfielder,66,3400000,Galatasaray
K. Huntelaar,12000,36,Netherlands,79,63,63,33,23,0,substitute,9,2000000,Ajax
A. Ranocchia,59000,32,Italy,32,57,58,80,76,0,substitute,13,3600000,Inter Milan
M. Lang,29000,29,Switzerland,68,67,66,77,76,0,substitute,3,4600000,Borussia Mionchengladbach
M. Rybus,500,30,Poland,69,72,72,73,68,0,defender,31,4400000,Lokomotiv Moscow
M. Schmelzer,38000,32,Germany,48,66,65,75,74,0,substitute,29,3500000,Borussia Dortmund
ader,500,32,Portugal,73,60,68,33,28,0,substitute,19,4500000,Lokomotiv Moscow
V. Aboubakar,14000,28,Cameroon,74,68,77,23,19,0,substitute,9,6000000,Porto
V. Germain,34000,30,France,75,73,74,21,18,0,substitute,28,5500000,Marseille
D. Garmash,500,30,Ukraine,72,74,70,73,65,0,substitute,19,5500000,Dynamo Kyiv
S. Kryvtsov,500,29,Ukraine,44,51,50,77,74,0,defender,4,4700000,Shakhtar Donetsk
Evanilson,9000,20,Brazil,76,54,70,20,19,0,substitute,71,9000000,Porto
M. Solomon,500,20,Israel,65,68,77,34,35,0,substitute,19,7500000,Shakhtar Donetsk
Tomas Tavares,5000,19,Portugal,47,61,74,74,69,0,substitute,84,6500000,Benfica
Romario Baro,8000,20,Portugal,67,70,74,53,56,0,substitute,8,7000000,Porto
D. Popov,500,21,Ukraine,38,46,51,75,74,0,substitute,4,6500000,Dynamo Kyiv
A. Maksimenko,500,22,Russia,0,0,0,12,12,71,goalkeeper,98,5000000,Spartak Moscow
B. Lednev,500,22,Ukraine,72,72,74,61,58,0,substitute,17,6000000,Dynamo Kyiv
P. Roberts,71000,23,England,66,69,79,18,19,0,substitute,29,6000000,Manchester City
A. Tuanzebe,55000,22,England,36,64,70,74,73,0,substitute,38,5500000,Manchester United
T. Fosu-Mensah,55000,22,Netherlands,60,64,65,73,74,0,substitute,24,5500000,Manchester United
J. Larsson,500,23,Sweden,74,69,73,15,16,0,attacker,11,5500000,Spartak Moscow
V. Kovalenko,500,24,Ukraine,71,72,74,59,55,0,substitute,20,5500000,Shakhtar Donetsk
Aleix Garcaa,65000,23,Spain,68,73,74,63,57,0,substitute,28,5500000,Manchester City
M. Matvienko,500,24,Ukraine,43,59,59,77,75,0,defender,22,5000000,Shakhtar Donetsk
C. Romero,29000,22,Argentina,35,43,48,75,75,0,substitute,17,5000000,Atalanta
J. Augustin,34000,23,France,73,62,79,24,17,0,substitute,37,5500000,RB Leipzig
R. Kristensen,17000,22,Denmark,56,67,67,66,67,0,defender,43,4900000,Red Bull Salzburg
L. Benes,24000,22,Slovakia,70,77,75,50,47,0,substitute,22,5500000,Borussia Mionchengladbach
Papa,500,23,Portugal,64,70,72,65,61,0,substitute,10,5500000,Olympiacos
S. Schrijvers,19000,23,Belgium,75,74,76,55,54,0,attacker,16,5500000,Club Brugge
J. Lea Siliki,29000,24,France,64,74,75,70,70,0,substitute,12,5500000,Rennes
R. Del Castillo,32000,24,France,72,72,79,42,43,0,substitute,22,5500000,Rennes
Patric,36000,27,Spain,53,66,70,76,74,0,substitute,4,4300000,Lazio
H. Magnusson,500,27,Iceland,50,66,61,75,72,0,defender,23,4300000,PFC CSKA Moscow
D. Cataldi,38000,25,Italy,71,76,73,69,68,0,substitute,32,4900000,Lazio
F. Ricca,17000,25,Uruguay,45,63,68,72,73,0,substitute,18,4400000,Club Brugge
M. Krmencçak,22000,27,Czech Republic,71,58,70,25,20,0,substitute,9,4700000,Club Brugge
D. Padelli,44000,34,Italy,0,0,0,12,12,76,goalkeeper,27,1800000,Inter Milan
T. Sippel,20000,32,Germany,0,0,0,15,12,69,goalkeeper,21,2400000,Borussia Mionchengladbach
K. Mitroglou,31000,32,Greece,76,65,65,18,10,0,substitute,36,3200000,Marseille
D. Drinkwater,57000,30,England,66,73,73,71,70,0,substitute,42,3700000,Chelsea
V. Vasin,500,31,Russia,41,58,45,74,72,0,substitute,5,3000000,PFC CSKA Moscow
C. Grenier,35000,29,France,71,78,74,59,49,0,substitute,8,3800000,Rennes
J. Martin,33000,30,France,69,74,72,72,68,0,substitute,28,3700000,Rennes
Alan Patrick,500,29,Brazil,71,72,76,59,42,0,midfielder,21,3900000,Shakhtar Donetsk
