name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name,
A. Epureanu,30000,33,Moldova,53,55,55,80,74,0,LCB,6,3100000,Medipol Baaüakaüehir FK,
D. Stephens,49000,31,England,65,74,69,76,70,0,SUB,6,5500000,Brighton & Hove Albion,
A. Modeste,28000,32,France,74,63,70,31,19,0,SUB,27,5500000,1. FC Kioln,
M. Tekdemir,30000,32,Turkey,60,65,70,77,72,0,RDM,21,4400000,Medipol Baaüakaüehir FK,
J. Holebas,500,36,Greece,65,74,73,77,75,0,LB,25,1200000,Olympiacos,
P. Aguilar,47000,33,Paraguay,52,54,55,72,72,0,RES,23,3100000,Cruz Azul,
A. Rami,9000,34,France,48,53,58,76,73,0,RCB,27,2500000,Boavista FC,
E. Choupo-Moting,0,31,Cameroon,72,68,77,36,20,0,0,0,0,0,
Roberto,14000,34,Spain,0,0,0,15,18,73,SUB,13,2900000,Real Valladolid CF,
M. Moralez,9000,33,Argentina,71,74,77,58,51,0,LCM,10,4000000,New York City FC,
I. Traore,32000,32,Guinea,69,73,82,44,40,0,SUB,16,5000000,Borussia Mionchengladbach,
M. Kelly,42000,30,England,44,59,61,78,76,0,SUB,34,5500000,Crystal Palace,
L. Pratto,18000,32,Argentina,74,70,73,62,66,0,SUB,27,5500000,River Plate,
Fi°bio Pacheco,13000,32,Portugal,55,70,66,75,73,0,CDM,6,4400000,Moreirense FC,
I. Traore,20000,33,Ivory Coast,32,57,49,75,74,0,RCB,8,3100000,Angers SCO,
Yoel,19000,31,Spain,0,0,0,15,11,72,SUB,13,4300000,SD Eibar,
R. Cota,17000,32,Mexico,0,0,0,13,12,79,GK,30,4000000,Club Leon,
K. Gibbs,61000,30,England,57,68,72,73,73,0,LB,3,5500000,West Bromwich Albion,
L. Ayling,74000,28,England,51,63,68,75,73,0,RB,2,5500000,Leeds United,
G. Kakuta,37000,29,DR Congo,70,74,80,41,25,0,CAM,10,6500000,Racing Club de Lens,
S. Ferni°ndez,500,35,Uruguay,70,65,80,20,25,0,SUB,18,2900000,Nacional de Montevideo,
T. Ki°di°r,17000,30,Hungary,34,66,61,73,72,0,LCB,4,5500000,Shandong Luneng TaiShan FC,
Kiko Olivas,18000,31,Spain,52,61,59,77,74,0,LCB,4,4900000,Real Valladolid CF,
J. Duei±as,37000,31,Mexico,67,72,74,69,67,0,LB,29,4800000,Tigres U.A.N.L.,
J. Herni°ndez,16000,31,Mexico,60,71,69,72,69,0,RES,16,5000000,Pachuca,
D. Janmaat,17000,30,Netherlands,65,72,74,74,73,0,SUB,2,5500000,Watford,
M. Phillips,70000,29,Scotland,70,71,74,45,34,0,RM,10,6500000,West Bromwich Albion,
Diogo Viana,13000,30,Portugal,64,71,77,72,74,0,SUB,11,5500000,SC Braga,
Miguel Lopes,14000,33,Portugal,50,68,67,71,72,0,RB,13,3000000,Kayserispor,
C. iÅlvarez,8000,34,Argentina,0,0,0,14,15,76,GK,1,2900000,Real Zaragoza,
D. Brosinski,23000,31,Germany,61,71,71,72,77,0,LB,18,4800000,1. FSV Mainz 05,
E. Room,6000,31,Curacao,0,0,0,17,13,72,GK,1,4300000,Columbus Crew SC,
Y. Bolasie,68000,31,DR Congo,69,68,79,34,17,0,RES,29,6000000,Everton,
Nelson Oliveira,500,28,Portugal,76,65,72,40,29,0,LS,18,7000000,AEK Athens,
D. Diekmeier,8000,30,Germany,40,65,66,72,73,0,RM,18,5500000,SV Sandhausen,
B. Oczipka,23000,31,Germany,59,72,71,77,76,0,LB,24,4800000,FC Schalke 04,
D. Santon,41000,29,Italy,58,71,73,75,76,0,SUB,18,5500000,Roma,
T. Cleverley,18000,30,England,69,75,74,71,52,0,LDM,8,6000000,Watford,
T. Jantschke,30000,30,Germany,41,64,65,78,77,0,SUB,24,5500000,Borussia Mionchengladbach,
K. Glik,16000,32,Poland,32,45,51,75,75,0,RCB,56,4300000,Benevento,
I. Opara,8000,31,United States,38,52,56,76,70,0,RCB,3,4900000,Minnesota United FC,
S. Frei,6000,34,United States,0,0,0,20,12,77,GK,24,2900000,Seattle Sounders FC,
D. Quintero,9000,32,Colombia,73,69,81,23,21,0,LW,23,5000000,Houston Dynamo,
P. Pekari≠k,35000,33,Slovakia,37,64,74,76,80,0,RB,2,3000000,Hertha BSC,
A. Smith,14000,29,England,60,70,73,76,75,0,LB,15,5500000,Bournemouth,
O. Alonso,8000,34,Cuba,65,68,73,73,72,0,LDM,6,2600000,Minnesota United FC,
T. Rincon,38000,32,Venezuela,59,71,75,80,76,0,CM,88,5000000,Torino,
Di≠dac Vili†,9000,31,Spain,51,68,72,77,76,0,LB,17,4800000,RCD Espanyol,
L. Junior,11000,29,Ivory Coast,72,64,76,13,11,0,LM,11,6500000,RCD Mallorca,
S. Corchia,23000,29,France,65,73,74,75,76,0,SUB,2,5500000,Sevilla,
Y. aåsako,28000,30,Japan,72,64,78,39,32,0,SUB,8,6500000,SV Werder Bremen,
G. Schennikov,500,29,Russia,54,69,70,73,74,0,LB,42,5500000,PFC CSKA Moscow,
V. Ignatiev,500,33,Russia,63,71,70,73,72,0,SUB,20,3000000,Lokomotiv Moscow,
J. Aquino,41000,30,Mexico,66,70,78,40,36,0,LM,20,6500000,Tigres U.A.N.L.,
S. Padt,8000,30,Netherlands,0,0,0,13,14,73,GK,1,4500000,FC Groningen,
F. Rinaudo,15000,33,Argentina,65,69,71,75,73,0,RCM,21,3200000,Rosario Central,
A. Nyom,25000,32,Cameroon,59,72,70,74,72,0,RM,12,5000000,Getafe CF,
L. Rodri≠guez,12000,35,Argentina,77,74,77,21,27,0,LS,10,3100000,Club Atletico Colon,
C. Tosun,71000,29,Turkey,75,66,72,34,15,0,RES,14,6500000,Everton,
S. Cook,14000,29,England,34,55,58,77,75,0,RCB,3,5500000,Bournemouth,
J. Larsen,18000,29,Denmark,60,72,73,73,72,0,RM,19,6500000,Udinese,
I. Pillud,17000,34,Argentina,50,67,69,75,73,0,RB,4,2300000,Racing Club,
C. Trimmel,25000,33,Austria,60,70,67,75,69,0,RM,28,3000000,1. FC Union Berlin,
H. Seferovic,15000,28,Switzerland,74,65,70,46,40,0,SUB,14,7000000,Benfica,
N. Viergever,15000,30,Netherlands,55,66,67,74,79,0,SUB,4,5500000,PSV,
A. Souquet,28000,28,France,58,70,71,74,74,0,RWB,2,5500000,Montpellier HSC,
Portillo,25000,30,Spain,70,75,76,56,53,0,SUB,8,6500000,Getafe CF,
Osmar,11000,32,Spain,60,69,57,76,75,0,RDM,5,4400000,FC Seoul,
C. Hourihane,50000,29,Republic of Ireland,70,76,70,72,64,0,LCM,14,6500000,Aston Villa,
F. ƒêuriƒçic,30000,28,Serbia,67,73,77,35,43,0,CAM,10,6500000,Sassuolo,
D. Didavi,23000,30,Germany,78,74,76,59,49,0,LF,10,6500000,VfB Stuttgart,
Y. Nagatomo,30000,33,Japan,49,65,70,76,73,0,SUB,25,3000000,Marseille,
Borja Garci≠a,23000,29,Spain,70,73,75,68,59,0,CAM,24,6500000,SD Huesca,
F. Hanin,9000,30,France,44,69,75,70,70,0,LB,29,5500000,Paris FC,
P. Jones,79000,28,England,50,60,56,76,77,0,RES,4,6000000,Manchester United,
Tiago Pinto,23000,32,Portugal,60,70,75,76,74,0,SUB,8,4100000,MKE Ankaragucu,
F. Kainz,26000,27,Austria,73,72,78,31,25,0,SUB,11,7000000,1. FC Kioln,
J. Tavernier,44000,28,England,67,72,74,72,71,0,RB,2,5500000,Rangers FC,
Mexer,26000,31,Mozambique,48,58,63,75,74,0,SUB,4,4900000,FC Girondins de Bordeaux,
Heldon,24000,31,Cape Verde,71,70,77,25,21,0,LM,20,6000000,Al Taawoun,
O. ozyakup,53000,27,Turkey,69,78,79,62,58,0,RCM,10,7000000,Beaüiktaaü JK,
Juanmi,23000,27,Spain,75,67,77,28,25,0,SUB,7,7000000,Real Betis,
J. Toornstra,14000,31,Netherlands,75,76,72,60,59,0,SUB,28,5500000,Feyenoord,
F. Jara,9000,31,Argentina,75,67,74,29,29,0,ST,29,6000000,FC Dallas,
Dani Rodri≠guez,10000,32,Spain,74,72,73,68,62,0,RM,14,5000000,RCD Mallorca,
M. Gabbiadini,21000,28,Italy,79,71,75,24,20,0,RS,23,7000000,Sampdoria,
S. Taider,9000,28,Algeria,73,73,74,66,56,0,CAM,8,6500000,Montreal Impact,
N. Mendy,60000,28,France,55,70,74,75,74,0,SUB,24,6000000,Leicester City,
Andre Andre,11000,30,Portugal,69,75,76,72,68,0,LCM,11,6000000,Vitoria Guimaraes,
M. Lowton,42000,31,England,61,72,72,76,75,0,SUB,2,4800000,Burnley,
A. Christiansen,9000,30,Denmark,72,72,78,65,71,0,RCM,10,6000000,Malmio FF,
P. Herni°ndez,18000,33,Chile,70,74,71,66,64,0,RCM,19,3900000,Independiente,
Arbilla,23000,33,Spain,57,71,67,78,74,0,SUB,23,3100000,SD Eibar,
J. Hendrick,37000,28,Republic of Ireland,68,74,76,69,67,0,SUB,16,6500000,Newcastle United,
Y. Konoplyanka,500,30,Ukraine,72,71,78,30,27,0,SUB,15,6500000,Shakhtar Donetsk,
M. Quiroga,18000,30,Argentina,73,50,67,15,17,0,RS,20,6500000,Atletico de San Luis,
R. Saponara,46000,28,Italy,67,75,80,34,30,0,RES,18,6500000,Fiorentina,
N. De Preville,33000,29,France,75,73,76,25,39,0,CAM,12,6500000,FC Girondins de Bordeaux,
C. Biraghi,44000,27,Italy,65,74,75,73,70,0,LM,3,7000000,Fiorentina,
M. Rojo,75000,30,Argentina,59,68,65,78,75,0,RES,16,5500000,Manchester United,
R. Brady,48000,28,Republic of Ireland,71,75,76,68,71,0,SUB,12,6500000,Burnley,
J. Si°nchez Mii±o,18000,30,Argentina,72,78,75,74,68,0,LB,3,5500000,Elche CF,
D. Nagbe,9000,29,United States,65,71,81,62,58,0,LDM,6,6500000,Columbus Crew SC,
A. Diaby,14000,29,Mali,71,67,74,34,30,0,RES,95,6500000,Sporting CP,
F. Castillo,22000,28,Colombia,70,65,82,50,34,0,LS,7,6500000,Club Tijuana,
D. Chari°,8000,34,Colombia,60,67,71,74,73,0,RDM,21,2600000,Portland Timbers,
D. Foulquier,24000,27,France,63,70,74,76,75,0,SUB,2,7000000,Granada CF,
G. Hauche,15000,33,Argentina,71,70,75,46,33,0,LW,27,4000000,Argentinos Juniors,
B. Reynet,18000,29,France,0,0,0,12,10,75,GK,30,4700000,NiÆmes Olympique,
Lui≠s Neto,12000,32,Portugal,37,55,52,76,77,0,RES,14,4300000,Sporting CP,
Luo Guofu,24000,32,China PR,76,74,76,37,29,0,SUB,20,5500000,Guangzhou Evergrande Taobao FC,
F. Fajr,18000,31,Morocco,73,78,76,69,68,0,LCM,76,5500000,Sivasspor,
M. Borjan,0,32,Canada,0,0,0,23,21,74,0,0,0,0,
L. Castro,500,31,Argentina,67,77,78,70,70,0,SUB,19,5500000,SPAL,
L. Pavoletti,32000,31,Italy,74,51,68,21,17,0,SUB,30,6000000,Cagliari,
S. Lung,11000,31,Romania,0,0,0,19,13,75,GK,33,4300000,Kayserispor,
A. Younes,54000,26,Germany,58,69,86,43,25,0,SUB,34,7000000,Napoli,
L. Aued,500,33,Argentina,66,74,74,73,67,0,LCM,11,3900000,Universidad Catolica,
E. Vargas,41000,30,Chile,75,70,79,45,36,0,SUB,9,6500000,Tigres U.A.N.L.,
Lucas Lima,33000,28,Brazil,57,71,72,75,74,0,LB,60,5500000,Al Ahli,
M. Dituro,500,33,Argentina,0,0,0,12,18,77,GK,1,3600000,Universidad Catolica,
P. Mantalos,500,28,Greece,69,75,78,48,38,0,SUB,20,6500000,AEK Athens,
Ruben Sobrino,34000,28,Spain,75,62,74,31,21,0,SUB,11,7000000,Valencia CF,
D. Siovas,20000,31,Greece,44,56,60,77,74,0,LCB,18,4900000,SD Huesca,
P. Capelle,22000,33,France,72,75,74,70,69,0,LM,15,4000000,Angers SCO,
C. Pellerano,500,38,Argentina,65,70,62,76,64,0,CDM,16,1400000,Independiente del Valle,
Fei Nanduo,24000,27,China PR,71,74,75,46,42,0,SUB,19,7000000,Guangzhou Evergrande Taobao FC,
S. Boufal,46000,26,Morocco,66,71,84,40,32,0,SUB,19,7000000,Southampton,
R. Beric,10000,29,Slovenia,76,66,68,30,23,0,ST,27,6500000,Chicago Fire,
M. Pavlovic,20000,30,Croatia,60,51,53,75,74,0,SUB,4,5500000,Angers SCO,
L. Depoitre,23000,31,Belgium,76,62,64,46,38,0,RS,29,6000000,KAA Gent,
J. Mojica,40000,27,Colombia,65,71,73,73,74,0,RES,5,6000000,Atalanta,
N. Vikonis,4000,36,Uruguay,0,0,0,14,14,74,GK,34,1100000,Puebla FC,
S. Oti°lvaro,500,33,Colombia,54,70,67,73,70,0,RB,20,3000000,Olimpia Asuncion,
F. Pardo,18000,29,Colombia,74,71,75,29,28,0,RW,27,6500000,Pachuca,
M. Rangel,500,29,Colombia,80,58,68,25,23,0,RES,15,6500000,Junior FC,
A. Ricaurte,9000,28,Colombia,62,77,73,68,62,0,SUB,10,6500000,FC Dallas,
S. Mendoza,7000,28,Colombia,72,66,79,31,24,0,LM,20,6500000,Amiens SC,
J. Angulo,3000,31,Colombia,58,69,68,72,74,0,RB,13,4800000,Deportivo Cali,
S. Medina,35000,28,Colombia,49,66,69,74,75,0,SUB,33,5500000,Monterrey,
Postigo,20000,31,Spain,43,54,58,76,73,0,RCB,15,4900000,Levante UD,
C. Cueva,16000,28,Peru,67,71,77,32,31,0,CAM,10,6500000,Yeni Malatyaspor,
J. Furch,27000,30,Argentina,75,61,68,25,27,0,LS,9,6500000,Santos Laguna,
E. Puch,500,33,Chile,70,66,78,44,36,0,LM,10,4000000,Universidad Catolica,
M. Bi≠ttolo,14000,30,Argentina,46,72,70,70,73,0,LB,28,5500000,"Newell""s Old Boys",
A. Donatti,18000,33,Argentina,60,56,54,74,71,0,LCB,6,3100000,San Lorenzo de Almagro,
C. Rius,15000,31,Argentina,65,72,76,53,47,0,RM,12,6000000,Defensa y Justicia,
D. Turuiß,53000,27,Turkey,69,78,76,61,55,0,RM,23,7000000,Fenerbahiße SK,
Y. Sabaly,26000,27,Senegal,38,63,73,76,74,0,RB,20,6000000,FC Girondins de Bordeaux,
Danilo,18000,28,Brazil,59,66,76,76,75,0,LB,3,5500000,VfL Bochum 1848,
Zainadine,10000,32,Mozambique,41,57,62,76,74,0,RCB,5,4300000,Clube Sport Mari≠timo,
K. Billiat,500,29,Zimbabwe,74,69,80,47,47,0,LAM,11,6500000,Kaizer Chiefs,
F. Si°nchez,500,30,Argentina,60,62,73,74,70,0,RB,14,5500000,Panathinaikos FC,
A. Silva,500,30,Uruguay,65,73,78,68,65,0,RM,3,6500000,Olimpia Asuncion,
R. Battaglia,23000,28,Argentina,67,67,73,80,76,0,SUB,6,6500000,Deportivo Alaves,
Embarba,10000,28,Spain,69,73,75,52,49,0,RM,23,6500000,RCD Espanyol,
A. Romero,22000,27,Paraguay,72,67,76,47,48,0,RS,11,7000000,San Lorenzo de Almagro,
L. Kalinic,36000,30,Croatia,0,0,0,17,17,76,RES,28,4500000,Aston Villa,
S. Sydorchuk,500,29,Ukraine,63,66,68,75,67,0,RDM,5,5500000,Dynamo Kyiv,
N. Vukƒçevic,23000,28,Montenegro,63,70,70,78,69,0,LCM,17,6500000,Levante UD,
M. Barrios,9000,29,Colombia,66,71,75,31,25,0,RM,21,6500000,FC Dallas,
J. Lolley,45000,27,England,69,69,78,54,41,0,RM,23,7000000,Nottingham Forest,
Z. Ferhat,22000,27,Algeria,61,75,76,30,27,0,RM,10,7000000,NiÆmes Olympique,
Eraso,13000,30,Spain,71,72,69,64,57,0,CAM,17,6000000,CD Leganes,
L. Hoyos,12000,31,Argentina,0,0,0,23,23,70,GK,12,4300000,Velez Sarsfield,
K. Lasagna,18000,27,Italy,73,60,77,20,18,0,LS,15,7000000,Udinese,
C. Budescu,12000,31,Romania,74,74,76,52,49,0,LW,10,6000000,Astra Giurgiu,
Cesinha,9000,30,Brazil,77,72,75,18,20,0,CAM,11,6500000,Daegu FC,
J. Moreira,15000,30,Paraguay,56,70,72,74,69,0,SUB,16,5500000,River Plate,
R. iÅbila,18000,30,Argentina,74,56,71,23,22,0,SUB,9,6500000,Boca Juniors,
C. Borja,12000,27,Colombia,50,66,70,72,73,0,LCB,26,6000000,Sporting CP,
G. Gimenez,9000,28,Argentina,63,75,77,69,67,0,RCM,30,6500000,Chicago Fire,
Enaldo Praz,18000,36,Brazil,49,68,65,77,71,0,LB,6,1200000,Gri™mio,
Alexio Sanctos,500,28,Brazil,0,0,0,19,13,75,GK,35,4900000,Sao Paulo,
Jailson Caeiro,21000,28,Brazil,53,63,72,72,73,0,RB,2,5500000,Botafogo,
Kai≠qundo Calado,500,24,Brazil,51,64,71,73,69,0,RB,2,6500000,Sao Paulo,
Estevao Candeira,500,24,Brazil,59,70,69,72,71,0,SUB,16,6500000,Flamengo,
Juli Freitinho,9000,20,Brazil,46,56,53,74,75,0,RCB,44,6500000,Bahia,
Leo Vimieiro,500,24,Brazil,52,66,70,76,74,0,SUB,33,6500000,Sao Paulo,
Emilio Piodao,13000,28,Brazil,64,69,70,76,68,0,RDM,33,6000000,Bahia,
Jorginhson,13000,28,Brazil,57,68,74,77,76,0,CDM,5,6000000,Goii°s,
Cris Laranjeiros,500,28,Brazil,54,61,64,79,75,0,LCB,4,6000000,Sao Paulo,
Kai≠quao Castro,14000,24,Brazil,0,0,0,10,10,72,GK,1,5000000,Fluminense,
Danisco Fachini,500,32,Brazil,43,67,68,74,72,0,LDM,2,4400000,Flamengo,
Joshuando Si°,20000,24,Brazil,44,64,65,76,74,0,LB,19,6500000,Santos,
Jesus Andradaldo,24000,28,Brazil,46,67,73,74,77,0,RB,10,5500000,Internacional,
Rubens Freitosa,500,36,Brazil,64,73,71,70,59,0,RCM,5,2100000,Palmeiras,
Davi Parrela,9000,20,Brazil,40,54,51,77,71,0,LCB,25,6500000,Atletico Clube Goianiense,
Duirval Diniz,12000,24,Brazil,47,55,51,82,75,0,RCB,16,6500000,Club Athletico Paranaense,
Muo Cadete,500,20,Brazil,63,72,76,40,35,0,LW,21,7500000,Palmeiras,
Pascoal Muscato,24000,28,Brazil,68,69,70,76,71,0,LDM,16,6000000,Santos,
Elildo Petri,500,24,Brazil,68,75,77,25,15,0,RW,11,7500000,Palmeiras,
Formosandrinho,25000,28,Brazil,77,60,73,14,15,0,ST,11,7000000,Botafogo,
Rafael Cachoira,9000,20,Brazil,40,58,58,77,73,0,RCB,2,6500000,Fortaleza,
D. Boyko,500,32,Ukraine,0,0,0,12,11,76,SUB,71,4000000,Dynamo Kyiv,
J. Ito,18000,27,Japan,65,68,76,60,56,0,RW,7,7000000,KRC Genk,
D. Lienard,27000,32,France,73,79,74,61,62,0,LDM,11,5000000,RC Strasbourg Alsace,
Alam Lindeiro,11000,24,Brazil,42,68,70,70,71,0,LB,39,6500000,Atletico Clube Goianiense,
L. Masopust,500,27,Czech Republic,67,68,75,48,47,0,RM,28,7000000,SK Slavia Praha,
P. Di°renas,0,36,Uruguay,0,0,0,10,10,72,0,0,0,0,
G. Ichazo,0,28,Uruguay,50,61,49,75,77,0,0,0,0,0,
D. Pi°manes,0,32,Uruguay,76,61,73,23,22,0,0,0,0,0,
K. Laba,500,28,Togo,75,62,68,15,21,0,ST,9,7000000,Al Ain FC,
A. Aguilmera,0,34,Ecuador,47,54,49,78,80,0,0,0,0,0,
P. Vaquizo,0,34,Ecuador,71,68,78,20,21,0,0,0,0,0,
K. Dawson,500,28,Uruguay,0,0,0,21,11,69,GK,12,4900000,Pei±arol,
W. Saliba,28000,19,France,33,61,66,75,73,0,RES,4,10000000,Arsenal,
A. Hlozek,500,17,Czech Republic,71,68,75,34,23,0,RS,20,9500000,Sparta Praha,
Brahim,26000,20,Spain,68,65,81,23,21,0,SUB,21,10000000,Milan,
C. Hudson-Odoi,41000,19,England,64,67,81,33,36,0,SUB,20,10000000,Chelsea,
G. Plata,8000,19,Ecuador,66,65,79,46,38,0,RW,20,10000000,Sporting CP,
Gustavo Assunißao,7000,20,Brazil,58,64,74,73,70,0,CDM,12,9500000,Famalicao,
E. Barco,7000,21,Argentina,65,68,79,26,39,0,LM,8,9500000,Atlanta United,
N. Bustos,12000,21,Argentina,74,66,77,29,31,0,CF,10,10000000,Club Atletico Talleres,
Paulinho,26000,19,Brazil,67,70,80,37,32,0,SUB,7,9500000,Bayer 04 Leverkusen,
B. Mbeumo,31000,20,France,73,66,75,38,37,0,RW,19,9500000,Brentford,
Gabriel Martinelli,38000,19,Brazil,69,62,76,40,43,0,RES,35,9500000,Arsenal,
J. Lewis,26000,22,Northern Ireland,51,62,72,74,69,0,LWB,15,8000000,Newcastle United,
Ruben Vinagre,38000,21,Portugal,55,69,79,69,66,0,SUB,29,8000000,Wolverhampton Wanderers,
I. Sangare,6000,22,Ivory Coast,65,71,69,77,75,0,CDM,17,8500000,Toulouse Football Club,
E. Ndicka,16000,20,France,45,65,68,75,73,0,SUB,2,8500000,Eintracht Frankfurt,
J. Kluivert,29000,21,Netherlands,71,66,80,32,27,0,SUB,99,9000000,Roma,
A. Maier,26000,21,Germany,56,72,75,74,65,0,SUB,23,9000000,Hertha BSC,
F. Coman,15000,22,Romania,73,69,75,33,27,0,LW,7,9000000,FCSB (Steaua),
R. Hack,9000,21,Germany,65,64,78,31,29,0,LS,17,9000000,1. FC Nurnberg,
iÅlex Centelles,18000,20,Spain,49,68,69,71,67,0,SUB,32,8000000,Valencia CF,
I. Louza,17000,21,France,64,73,76,68,57,0,LDM,26,9000000,FC Nantes,
Kangin Lee,16000,19,Korea Republic,72,75,79,23,23,0,SUB,20,9000000,Valencia CF,
A. Kri°l,500,22,Czech Republic,68,67,74,76,69,0,LCM,33,8500000,Spartak Moscow,
J. Larsen,21000,21,Denmark,70,68,75,58,44,0,SUB,7,8500000,TSG 1899 Hoffenheim,
A. Lookman,34000,22,England,72,66,81,23,24,0,SUB,17,8500000,RB Leipzig,
V. Nelsson,12000,21,Denmark,43,63,63,74,72,0,RCB,4,8000000,FC Ki∏benhavn,
M. Kean,48000,20,Italy,72,50,77,28,16,0,SUB,27,9000000,Everton,
R. Vargas,18000,21,Switzerland,67,65,78,51,45,0,LM,16,8500000,FC Augsburg,
O. Alderete,12000,23,Paraguay,58,61,63,75,73,0,LCB,6,8000000,FC Basel 1893,
Rafael Leao,26000,21,Portugal,72,64,79,24,21,0,RES,17,9000000,Milan,
T. Cantwell,10000,22,England,67,71,76,44,31,0,RM,14,8500000,Norwich City,
M. Wiober,19000,22,Austria,37,62,64,74,77,0,LCB,39,7500000,Red Bull Salzburg,
Alei±i°,84000,22,Spain,67,73,74,62,50,0,RES,29,8000000,Barcelona,
Evander,21000,22,Brazil,69,72,80,58,52,0,RCM,10,8500000,Midtjylland,
I. Doumbia,9000,22,Ivory Coast,56,67,70,74,67,0,SUB,98,7500000,Sporting CP,
P. Retsos,29000,21,Greece,35,59,56,79,73,0,SUB,3,7500000,Bayer 04 Leverkusen,
F. Chalov,500,22,Russia,72,67,75,26,23,0,ST,9,8500000,PFC CSKA Moscow,
A. Caci,19000,23,France,52,67,67,72,71,0,SUB,19,7500000,RC Strasbourg Alsace,
M. Richter,21000,22,Germany,70,64,78,25,26,0,RES,23,8500000,FC Augsburg,
E. Owusu,16000,22,France,53,69,72,70,70,0,CDM,6,7500000,KAA Gent,
A. Haidara,34000,22,Mali,70,72,75,62,61,0,SUB,8,8000000,RB Leipzig,
C. Gakpo,12000,21,Netherlands,71,69,75,38,28,0,LAM,19,8500000,PSV,
V. Shepelev,500,23,Ukraine,63,62,70,73,72,0,SUB,8,8000000,Dynamo Kyiv,
Quintilli†,9000,23,Spain,51,66,70,73,71,0,LB,16,7000000,Norwich City,
S. Vegas,27000,23,Chile,54,62,67,73,74,0,LB,20,7000000,Monterrey,
A. Sanabria,19000,24,Paraguay,72,70,74,20,15,0,SUB,19,8000000,Real Betis,
Pablo Maffeo,16000,22,Spain,52,67,74,74,73,0,RB,3,7000000,SD Huesca,
M. Rodi°k,44000,23,Slovakia,0,0,0,17,16,70,GK,12,6000000,Fulham,
A. Fulgini,18000,23,France,63,74,77,74,69,0,RM,10,8000000,Angers SCO,
D. Sow,21000,23,Switzerland,67,73,74,72,67,0,SUB,8,8000000,Eintracht Frankfurt,
B. Cufre,12000,23,Argentina,64,72,74,72,62,0,LB,3,7000000,Velez Sarsfield,
iÅlvaro Tejero,18000,23,Spain,60,70,75,70,69,0,SUB,22,7000000,SD Eibar,
M. van Bergen,8000,20,Netherlands,67,64,77,21,23,0,RW,11,8000000,SC Heerenveen,
Joaqui≠n,14000,24,Spain,47,62,61,77,75,0,RCB,24,7000000,Real Valladolid CF,
S. Alakouch,14000,21,France,38,67,71,72,73,0,SUB,29,7000000,NiÆmes Olympique,
G. Til,19000,22,Netherlands,71,70,72,62,60,0,LDM,14,8000000,SC Freiburg,
S. Lammers,39000,23,Netherlands,75,61,77,21,19,0,SUB,27,8000000,Atalanta,
S. Lukic,30000,23,Serbia,60,75,76,72,71,0,SUB,7,8000000,Torino,
J. Herni°ndez,19000,21,Colombia,75,62,72,33,37,0,SUB,23,8000000,Getafe CF,
A. Franco,13000,23,Argentina,34,50,56,80,71,0,RCB,2,7000000,Independiente,
F. Onyeka,19000,22,Nigeria,58,64,71,73,68,0,LCM,38,7000000,Midtjylland,
M. Pessina,35000,23,Italy,66,70,74,64,62,0,RES,40,8000000,Atalanta,
Manu Vallejo,27000,23,Spain,76,68,77,39,41,0,SUB,21,8000000,Valencia CF,
E. Mwepu,21000,22,Zambia,67,71,72,72,67,0,LDM,45,8000000,Red Bull Salzburg,
F. Benkovic,46000,22,Croatia,44,56,55,73,73,0,RES,16,7000000,Leicester City,
M. Burda,500,25,Ukraine,23,43,40,78,71,0,RCB,26,7000000,Dynamo Kyiv,
R. Rojas,12000,24,Paraguay,54,65,68,71,71,0,SUB,2,7000000,River Plate,
I. Pussetto,16000,24,Argentina,73,62,77,18,25,0,SUB,33,8000000,Watford,
E. Ponce,500,23,Argentina,73,60,74,30,28,0,SUB,19,8000000,Spartak Moscow,
E. Unsain,10000,25,Argentina,0,0,0,23,21,68,GK,22,5500000,Defensa y Justicia,
O. Pineda,42000,24,Mexico,70,69,77,65,65,0,SUB,31,7500000,Cruz Azul,
R. Mandragora,14000,23,Italy,63,73,75,75,69,0,CDM,38,7500000,Udinese,
K. Iheanacho,56000,23,Nigeria,74,64,75,25,23,0,SUB,14,8000000,Leicester City,
J. Jankto,15000,24,Czech Republic,69,71,75,68,64,0,LM,14,7500000,Sampdoria,
C. Roldan,7000,25,United States,66,69,74,71,71,0,LDM,7,7000000,Seattle Sounders FC,
J. Aidoo,16000,24,Ghana,25,40,45,76,72,0,RCB,18,7000000,RC Celta,
T. Kadewere,44000,24,Zimbabwe,74,65,75,39,35,0,SUB,24,8000000,Olympique Lyonnais,
N. Dorsch,16000,22,Germany,57,70,75,72,69,0,SUB,30,7000000,KAA Gent,
M. Cafaro,19000,23,France,69,72,78,41,45,0,RM,24,7500000,Stade de Reims,
J. Harrison,62000,23,England,65,67,77,43,44,0,SUB,22,7500000,Leeds United,
D. Batallini,12000,24,Argentina,70,67,76,53,51,0,RW,10,7500000,Argentinos Juniors,
E. Reynoso,7000,24,Argentina,64,75,79,55,54,0,SUB,10,7500000,Minnesota United FC,
M. Si°ƒçek,500,23,Czech Republic,63,69,74,71,71,0,SUB,16,7000000,Sparta Praha,
B. Engels,39000,25,Belgium,44,61,55,76,74,0,SUB,22,6500000,Aston Villa,
L. Romero,15000,26,Argentina,61,69,71,75,72,0,LCM,22,6500000,Independiente,
